variable,tipo,nulos,pct_nulos,valores_distintos
MES_NAC,int64,0,0.0,12
ANO_NAC,int64,0,0.0,4
SEXO,int64,0,0.0,3
TIPO_PARTO,int64,0,0.0,5
TIPO_ATEN,int64,0,0.0,5
PARTO_LOCAL,int64,0,0.0,4
SEMANAS,float64,595,0.08088514173931602,28
RANGO_PESO,str,0,0.0,6
TALLA,float64,597,0.08115702456869188,37
GRUPO_ETARIO_PADRE,str,0,0.0,9
CURSO_PADRE,int64,0,0.0,10
NIVEL_PADRE,float64,50737,6.897259557021306,5
ACTIV_PADRE,float64,60962,8.28726052220535,3
OCUPA_PADRE,str,0,0.0,12
CATEG_PADRE,int64,0,0.0,6
GRUPO_ETARIO_MADRE,str,0,0.0,9
EST_CIV_MADRE,int64,0,0.0,7
CURSO_MADRE,int64,0,0.0,10
NIVEL_MADRE,int64,0,0.0,6
ACTIV_MADRE,int64,0,0.0,4
OCUPA_MADRE,str,1,0.00013594141468792608,12
CATEG_MADRE,int64,0,0.0,6
NACIONALIDAD_MADRE,str,0,0.0,3
REGION_RESIDENCIA,int64,0,0.0,16
GLOSA_REGION_RESIDENCIA,str,0,0.0,16
