REGION_RESIDENCIA,GLOSA_REGION_RESIDENCIA,mean,count,metodo,media_observada_cm,cambio_media_cm
1,De Tarapacá,49.158518360375744,18736,sin_imputar,49.158518360375744,0.0
2,De Antofagasta,48.61608047221543,28631,sin_imputar,48.61608047221543,0.0
3,De Atacama,49.040723621294234,12548,sin_imputar,49.040723621294234,0.0
4,De Coquimbo,48.853827636013484,31155,sin_imputar,48.853827636013484,0.0
5,De Valparaíso,48.77940020859825,69991,sin_imputar,48.77940020859825,0.0
6,Del Libertador B. O'Higgins,48.680374750899354,38639,sin_imputar,48.680374750899354,0.0
7,Del Maule,48.75136265545396,44949,sin_imputar,48.75136265545396,0.0
8,Del Bíobío,49.226347889729205,61485,sin_imputar,49.226347889729205,0.0
9,De La Araucanía,48.85245372897335,40306,sin_imputar,48.85245372897335,0.0
10,De Los Lagos,49.12073117655593,34465,sin_imputar,49.12073117655593,0.0
11,De Aisén del Gral. C. Ibáñez del Campo,48.972979672781356,4034,sin_imputar,48.972979672781356,0.0
12,De Magallanes y de La Antártica Chilena,48.721757665191014,6099,sin_imputar,48.721757665191014,0.0
13,Metropolitana de Santiago,48.892653535886865,299246,sin_imputar,48.892653535886865,0.0
14,De Los Ríos,49.06451832211571,14709,sin_imputar,49.06451832211571,0.0
15,De Arica y Parinacota,49.32669789227166,11102,sin_imputar,49.32669789227166,0.0
16,De Ñuble,48.936254558909035,18919,sin_imputar,48.936254558909035,0.0
1,De Tarapacá,49.157643608549925,18801,media_general,49.158518360375744,-0.0008747518258189757
2,De Antofagasta,48.6163632364443,28659,media_general,48.61608047221543,0.0002827642288707466
3,De Atacama,49.040648227663425,12555,media_general,49.040723621294234,-7.539363080866224e-05
4,De Coquimbo,48.853895547189595,31196,media_general,48.853827636013484,6.791117611015807e-05
5,De Valparaíso,48.77948303024006,70037,media_general,48.77940020859825,8.282164181139251e-05
6,Del Libertador B. O'Higgins,48.680514496914896,38663,media_general,48.680374750899354,0.0001397460155416752
7,Del Maule,48.75145518706639,44976,media_general,48.75136265545396,9.25316124309461e-05
8,Del Bíobío,49.22601426480671,61549,media_general,49.226347889729205,-0.0003336249224972221
9,De La Araucanía,48.852491867931484,40335,media_general,48.85245372897335,3.813895813209456e-05
10,De Los Lagos,49.12056269550905,34492,media_general,49.12073117655593,-0.00016848104687738896
11,De Aisén del Gral. C. Ibáñez del Campo,48.9727130854684,4050,media_general,48.972979672781356,-0.000266587312957256
12,De Magallanes y de La Antártica Chilena,48.72211847440849,6111,media_general,48.721757665191014,0.0003608092174758326
13,Metropolitana de Santiago,48.89266048656344,299408,media_general,48.892653535886865,6.950676578298953e-06
14,De Los Ríos,49.06422696074227,14736,media_general,49.06451832211571,-0.00029136137344210056
15,De Arica y Parinacota,49.326508282956326,11107,media_general,49.32669789227166,-0.00018960931533484882
16,De Ñuble,48.936226948453005,18936,media_general,48.936254558909035,-2.7610456029947272e-05
1,De Tarapacá,49.15797032072762,18801,mediana_general,49.158518360375744,-0.0005480396481232219
2,De Antofagasta,48.616455563697265,28659,mediana_general,48.61608047221543,0.0003750914818354545
3,De Atacama,49.04070091596974,12555,mediana_general,49.040723621294234,-2.2705324496996582e-05
4,De Coquimbo,48.854019746121295,31196,mediana_general,48.853827636013484,0.00019211010781106097
5,De Valparaíso,48.779545097591274,70037,mediana_general,48.77940020859825,0.0001448889930273367
6,Del Libertador B. O'Higgins,48.680573157799444,38663,mediana_general,48.680374750899354,0.0001984069000897648
7,Del Maule,48.75151191746709,44976,mediana_general,48.75136265545396,0.00014926201313159027
8,Del Bíobío,49.22611252822954,61549,mediana_general,49.226347889729205,-0.00023536149966219
