REGION_RESIDENCIA,GLOSA_REGION_RESIDENCIA,variable,nulos,nacimientos,pct_nulos
11,De Aisén del Gral. C. Ibáñez del Campo,TALLA,16,4050,0.3950617283950617
1,De Tarapacá,TALLA,65,18801,0.3457262911547258
12,De Magallanes y de La Antártica Chilena,TALLA,12,6111,0.19636720667648502
14,De Los Ríos,TALLA,27,14736,0.18322475570032573
4,De Coquimbo,TALLA,41,31196,0.1314271060392358
8,Del Bíobío,TALLA,64,61549,0.10398219304944029
2,De Antofagasta,TALLA,28,28659,0.09770054782092885
16,De Ñuble,TALLA,17,18936,0.08977608787494719
10,De Los Lagos,TALLA,27,34492,0.07827902122231242
9,De La Araucanía,TALLA,29,40335,0.07189785546051816
5,De Valparaíso,TALLA,46,70037,0.0656795693704756
6,Del Libertador B. O'Higgins,TALLA,24,38663,0.062074851925613635
7,Del Maule,TALLA,27,44976,0.06003201707577375
3,De Atacama,TALLA,7,12555,0.05575467941059339
13,Metropolitana de Santiago,TALLA,162,299408,0.05410677069416983
15,De Arica y Parinacota,TALLA,5,11107,0.04501665616278023
